ID,SiteName,Address,Lat,Long,SiteType,NiceSiteType,PlugTypes,AvailableCount,TotalPorts,IsPlannedSite,RequireCable,Costs
55,RAA Charge Old Noarlunga Hotel,"38 Patapinda Road, Old Noarlunga SA 5168",-35.182424,138.5016406,7,Charging at 7kW,Type 2,4,4,False,All ports require a cable,
56,RAA Charge Wallaroo Holiday Park,"1 Pamir Court, Wallaroo SA 5556",-33.920237,137.6316652,7,Charging at 7kW,Type 2,3,4,False,All ports require a cable,
57,RAA Charge UPark Pirie Street,"41  Sudholz Place, Adelaide SA 5000",-34.925709,138.6073757,7,Charging at 7kW,Type 2,5,6,False,All ports require a cable,
58,RAA Charge Comfort Inn Glenelg,"626 Anzac Highway, Glenelg East SA 5045",-34.976927,138.5252888,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
59,RAA Charge Lady Bay Resort,"73 Saint Andrews Boulevard, Normanville SA 5204",-35.461882,138.3159957,7,Charging at 7kW,Type 2,4,4,False,All ports require a cable,
60,RAA Charge Penola Coonawarra Caravan Park,"5 South Terrace, Penola SA 5277",-37.386087,140.8345834,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
61,Centennial Park Cemetery - Wildflowers Cafe,"760 Goodwood Road, Pasadena SA 5042",-34.997404,138.58977,7,Charging up to 22kW,Type 2,2,2,False,All ports require a cable,$0.00 - $0.00/kWh
62,RAA Charge Auto Park Mill Street,"19-21 Mill Street, Adelaide SA 5000",-34.930847,138.5986204,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
63,RAA Charge Streaky Bay,"82 Wells Street, Streaky Bay SA 5680",-32.797519,134.1989712,150,Charging up to 150kW,"Type 2, CCS2",3,3,False,Some ports require a cable,
64,RAA Charge Comfort Inn Flinders On Main,"151 Main Road, Solomontown SA 5540",-33.185215,138.0242429,7,Charging at 7kW,Type 2,3,3,False,Some ports require a cable,
65,RAA Charge Reisen Hotel,"25 Mount Barker Road, Hahndorf SA 5245",-35.031869,138.8114715,7,Charging at 7kW,Type 2,3,4,False,All ports require a cable,
66,RAA Charge Truro,"28 James Street West, Truro SA 5356",-34.40941,139.126811,150,Charging up to 150kW,CCS2,4,4,False,Some ports require a cable,
67,RAA Charge Warnertown Bakery & Cafe,"11200 Augusta Highway, Warnertown SA 5540",-33.235605,138.1195429,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
68,RAA Charge Blackwood,"10 Young Street, Blackwood SA 5051",-35.019707,138.6146362,150,Charging up to 150kW,"CCS2, Type 2",3,3,False,No ports require a cable,
69,RAA Charge The Bentleys Hotel,"191 Main North Road, Clare SA 5453",-33.835266,138.6141094,7,Charging at 7kW,Type 2,2,2,False,All ports require a cable,
70,RAA Charge Ceduna,"32 O'Loughlin Terrace, Ceduna SA 5690",-32.126206,133.6727593,150,Charging up to 150kW,"Type 2, CCS2",3,3,False,Some ports require a cable,
71,RAA Charge Glendambo Roadhouse," Stuart Highway, Glendambo SA 5719",-30.967831,135.7495592,7,Charging up to 20kW,CCS2,1,1,False,No ports require a cable,
72,RAA Charge Auto Park Franklin Street,"42 Franklin Street, Adelaide SA 5000",-34.927114,138.597241,7,Charging at 7kW,Type 2,2,3,False,All ports require a cable,
73,RAA Charge Stirling Hotel,"52 Mount Barker Road, Stirling SA 5152",-35.006519,138.7180239,7,Charging at 7kW,Type 2,3,3,False,Some ports require a cable,
74,RAA Charge Penneshaw,"11 Frenchmans Terrace, Penneshaw SA 5222",-35.719303,137.9411112,150,Charging up to 150kW,"CCS2, Type 2",3,3,False,No ports require a cable,
75,RAA Charge Morgan,"17 Railway Terrace, Morgan SA 5320",-34.036744,139.6709641,150,Charging up to 150kW,"CCS2, Type 2",3,3,False,Some ports require a cable,
76,RAA Charge Auto Park Frome Street,"15 Frome Street, Adelaide SA 5000",-34.921674,138.6075894,7,Charging at 7kW,Type 2,3,6,False,All ports require a cable,
77,RAA Charge Pimba," Stuart Highway, Pimba SA 5720",-31.255927,136.8028663,150,Charging up to 150kW,CCS2,2,2,False,No ports require a cable,
78,RAA Charge Renmark,"240 Renmark Avenue, Renmark SA 5341",-34.178144,140.74136,200,Charging up to 200kW,"CCS2, CHAdeMO",4,5,False,No ports require a cable,
79,RAA Charge Sundowner Hotel Motel,"232 Broadbent Terrace, Whyalla Norrie SA 5608",-33.042008,137.5399634,7,Charging at 7kW,Type 2,4,4,False,All ports require a cable,
80,RAA Charge Burra,"2 Bridge Terrace, Burra SA 5417",-33.681623,138.9404227,150,Charging up to 150kW,"Type 2, CCS2",4,4,False,Some ports require a cable,
81,RAA Charge Brickworks,"38 South Road, Torrensville SA 5031",-34.913003,138.563003,200,Charging up to 200kW,"CCS2, Type 2",4,5,False,Some ports require a cable,
